timestamp,summarizerName,summaryTitle,yearPublished,studyAuthor,studyType,publicSummary.entry,studyDesignFeatures.entry,populationDesc.entry,numParticipants.entry,tumorType.entry,staging.entry,pathology.entry,molecularTargets.entry,naturalTherapyCategory.entry,naturalTherapyDesc.entry,naturalTherapyName.entry,naturalTherapyComponents.entry,comparator.entry,outcomesResultsDesc.entry,outcomeCategory.entry,outcomeResults.entry,adverseEvents.entry,adverseEventsOpt.entry,adverseEventsDesc.entry,interactions.entry,interactionsDesc.entry,tumorTypeTags.entry,sideEffectTags.entry,conventionalTreatment.entry,conventionalTreatmentAgents.entry,qraRandomSeqGen.entry,qraAllocationConceal.entry,qraBlindingParticipants.entry,qraBlindingOutcomeAssess.entry,qraIncompleteOutcomeData.entry,qraSelectiveReporting.entry,qraOtherBias.entry,pediatricPop,summaryCompleted
11/30/2015 12:00:00,Louden,"Effects of a green tea extract, Polyphenon E, on systemic biomarkers of growth factor signalling in women with hormone receptor-negative breast cancer",2014,,Clinical trial,"Breast cancer survivors who had hormone receptor negative breast cancer who took oral green tea extract, EGCG 400-800mg daily for two months had improved growth factor signaling (HGF)  compared to the placebo group. There were no statistically significant changes in markers of inflammation or angiogenesis.",Double blind randomized controlled trial,40 women age 21 to 65 years with a history of resected stage I-III estrogen receptor negative and progestorone receptor negative breast carcinoma without evidence of disease at trial entry and a minumum of 6 months since surgery or treatment,"N=40 (0 male, 40 females)","cancerous, survivors",Breast cancer survivors,"I, II, III",Hormone-receptor negative,"VEGF, HGF",Herb/Plant compound,"Green tea extract (Poly E), oral capsules, standardized to EGCG, given as 400mg, 600mg or 800mg of EGCG twice daily with food for 2 months",Green Tea,"Polyphenon E: 65% EGCG and lesser amounts of epicatechin, epigallocatechin and epicatechin gallate   Each capsule had 200mg of EGCG",Placebo,"At 2 months, Poly E group (all doses) compared to placebo had a significant decrease in mean serum HGF levels (-12.7% vs. +6.3%, P = 0.04). Trend continued at 4 and 6 months, but was not statistically signficant. 
For Poly E group, serum VEGF decreased by 11.5% at 2 months (P = 0.02) and 13.9% at 4 months (P = 0.05), but did not differ compared to placebo.
Trend toward decrease in total cholesterol in Poly E group, but did not reach statistical significance.
 No significant differences observed for biomarkers of oxidative damage (8-oxodG) and inflammation (serum high-sensitivity C-reactive protein, urine prostaglandin E2 metabolite).",Surrogate,Mixed,Present,,"5 dose limiting toxicities during the trial: indigestion, transaminitis, insomnia, rectal bleeding (all grade 3) and weight gain (grade 2)",Reported and possible,"
",Breast,"
",N/A,N/A,,,,,,,,,,,,1/26/17 HW
11/30/2015 12:00:00,Louden,"Phase IB randomized, double-blinded, placebo-controlled, dose escalation study of Polyphenon E in women with a history of hormone receptor-negative breast cancer",2012,,clinical trial,Breast cancer survivors were given an oral green tea extract for 6 months at increasing doses to study toxicity. Use of green tea extract at doses of 1200mg EGCG was associated with transient increases in liver function tests and pancreatic enzymes. A history of digestive tract bleeding may be a relative contraindication for use of green tea extract. ,Double blind randomized controlled trial,40 women age 21 to 65 years with a history of resected stage I-III estrogen receptor negative and progestorone receptor negative breast carcinoma without evidence of disease at trial entry and a minumum of 6 months since surgery or treatment.,"N = 40 (40 women, 0 men)","cancerous, solid tumors",Breast cancer survivors,"I, II, III",Hormone-receptor negative,"IGF-1, IGFBP-3",Herb/Plant compound,"Participants received either Poly E delivering 400mg, 600mg, or 800mg of EGCG (2-4 capsules) twice daily (total of 800mg, 1200mg, or 1600mg EGCG daily) with food or matching placebo for 6 months (10 subjects in the placebo arm, 30 subjects in the study arm with participant assignment to dose level as per the adaptive study design).",Green Tea,"Polyphenon E: 65% EGCG and lesser amounts of epicatechin, epigallocatechin and epicatechin gallate. Each capsule contained 200mg of EGCG",Placebo,"Maximum tolerated dose (defined as the dose that causes 25% dose limiting toxicity (DLT >=2): 600mg BID.
  Pharmacologic levels of total urinary tea polyphenols were achieved with all three dose levels of PolyE.
  Favorable, but not statistically signficant changes in serum estradiol and IGF-1/IGFBP-3 ratio.","surrogate, safety",Neutral,Present,,"5 Dose limiting toxicities during the trial:
  - Dose level 1: Grade 3, rectal bleeding (6.25% frequency of DLTs)
  - Dose level 2: Grade 2, weight gain; Grade 3 Indigestion; Grade 3, Insomnia (27% frequency of DLTs)
  - Dose level 3: Grade 3, ALT elevation (33% frequency of DLTs)",Reported and possible,"
",Breast,Biomarkers,N/A,N/A,,,,,,,,,,,,1/26/17 HW
11/30/2015 12:00:00,Louden,Preventing the acute skin side effects in patients treated with radiotherapy for breast cancer: the use of corneometry in order to evaluate the protective effect of moisturizing creams,2013,,clinical trial,An uncontrolled clinical trial of five different topical creams for preventing acute skin reactions in breast cancer patients undergoing adjuvant radiation.,Uncontrolled clinical trial,"100 female patients, aged from 29 to 75 years, with a pathological diagnosis of breast cancer who were candidates for adjuvant radiotherapy with a dose of 50 Gy to whole breast and subsequent 10 Gy dose to tumor bed","N = 100 (0 male, 100 females)","Cancerous, solid tumors",Breast cancer,Not reported,not reported,,"Topical, Herb/Plant compound","1 of 5 hydrating creams (Neoviderm, Ixoderm, Radioskin 1, Radioskin 2, Xderit) applied twice a day starting 15 days before and one month after completing radiation treatment.","Herbs, Topical, Beta glucan, Aloe vera, Algae","Hydrating creams as follows: (20 females per each group) - Cream Containing: Betaglucan, sodium hyaluronate (Neoviderm) - Cream Containing: Vitis vinifera A. (Ixoderm) - Cream Containing: Algae atlantica and ethylbisiminomehtylguaicolo Mangangese Cloruro (Radioskin 1) and metal esculetina, binkgo biloba and Aloe vera (Radioskin 2) - Cream Containing: Natural triglycerides-fitosterols (Xderit) - Cream Containing: Selectiose, thermal water of Avene (Trixera+).",None,"All patients completed radiotherapy and G4 cutaneous toxicity was not observed in any patients - No treatment delays were necessary. 
  72% of patients had Grade 1 cutaneous toxicity, 18% developed grade 2, 10% developed grade 3, 0% grade 4
  Cannot draw conclusion about what product is more active.",symptom,Positive,None reported,,N/A,Reported and possible,Hydrating creams may prevent grade 4 cutaneous toxicity and prevent treatment delays for women receiving adjuvant radiation.,Breast,"Radiation supportive care, skin",radiation,N/A,,,,,,,,,,,,1/26/17 HW
11/30/2015 12:00:00,Louden,Results of a Diet/Exercise Feasibility Trial to Prevent Adverse Body Composition Change in Breast Cancer patients on Adjuvant Chemotherapy.,2008,,clinical trial,"A 6 month randomized, controlled clinical trial comparing a calcium rich diet (CA) intervention (attention control) to 2 experimnetal arms: a CA + exercise (EX) arm or a CA + EX and high fruit and vegetable, low-fat diet (FVLF)",Controlled clinical trial,90 premenopausal females ages 25-53 with newly diagnosed stage I-IIIA breast cancer scheduled for adjuvant chemotherapy,"N= 90 females ( 29 calcium-rich diet, 29 calcium-rich diet + exercise, 32 calcium-rich diet + exercise + high fruit and vegetable and low-fat diet)","Cancerous, solid tumors",Breast Cancer,"I, II, III",N/A,," Exercise, Mineral, Dietary","Calcium-rich diet plus exercise (CA + EX).
  Calcium-rich diet plus exercise plus a high fruit and vegetable and low-fat diet(FVLF) (CA + EX + FVLF).","Calcium, Exercise","CA + EX: aerobic exercise >= 30 minutes per day >= 3 times weekly and to perform strength training exercise every other day.
  CA + EX + FVLF: CA + EX plus goals of levels of <= 20% of energy from fat and >= 5 servings of FV per day. All groups: telephone counseling of 14 contacts of 10-30 minutes each/once a week for the first month ad semiweekly for the remaining 5 months.",Calcium rich diet (intakes of 1200-1500mg),"At 6 months of follow-up, the CA + EX + FVLF arm had significantly lower scores for percentage body fat (arms and legs (P = 0.047)
  No significant bone density differences detected among arms
  No significant differences were observed among arms over time for serum insulin, proinsulin, IGF-1, CRP, cholesterol, SHBG, IL-1B and TNFR2 
  The CA diet recieved the highest feasiblity scores.",,Positive,None reported,,N/A,Present - beneficial,"A calcium-rich, low fat, high fruit and vegetable diet may decrease percentage body fat in arms and legs in women with breast cancer.",Breast,"Osteoporosis, weight, exercise",Chemotherapy/Immunotherapy,N/A,,,,,,,,,,,,1/26/17 HW
11/30/2015 12:00:00,Louden,"Safety, Tolerability, and Effect on Quality of Life of a Mixture of Amino Acids and Other Small Molecules in Cancer Patients.",2014,,clinical trial,"Two clinical studies of an oral mixture of amino acids, vitamins, and other small molecules involving a one period, open-label, multiple dose safety and tolerability trial in a healthy population of 24 people followed by a one period, open-label, multiple dose, single-arm trial assessing safety, tolerability, and effect on quality of life in 50 cancer patients.",Uncontrolled clinical trial,"24 healthy male and female volunteers and 50 male and female cancer patients, age 18-65 years, with different types of stage I-IV malignant tumor who are either receiving ongoing chemo- or radiotherapy or not receiving ongoing chemo- or radiotherapy, but cancer has been verified by latest medical documentation","N = 74 (35 males, 39 females)","Combined, cancerous and non-cancerous","Breast Cancer
  Lung Cancer
  Colon Cancer
  Rectal Cancer
  Head and Neck Cancer
  Gastric Cancer
  Hodgkin Lymphoma
  non-Hodgkin Lymphoma
  Thyroid Cancer
  Liver cancer
  Liposarcoma
  Melanoma
  Pancreatic Cancer
  Prostate Cancer
  Kidney Cancer
  Bladder Cancer
  Vaginal Cancer",All stages,N/A,,"Dietary, Amino acid, Vitamin",Participants received 25.5g/day of the investigational product dissolved each morning in 600mL of water administered in 10 equal doses per day for 28 consecutive days,"Arginine, Histidine, Methionine,  Phenylalanine, Tyrosine, Tryptophan,
Ascorbic acid, Biotin, Pyridoxine, Riboflavin, Adenine, Malic acid ","Drink powder manufactured by Meditop Pharmaceutical Ltd, Hungary with following composition (in 100g of product): L-arginine 30.7g, L-histidine 12.2g, L-methionine 11.7g, L-phenylalanine 12.9g, L-tyrosine 498 mg, L-tryptophan 6g, L-ascorbic acid 13.7g, D-biotin 11.8mg, Pyridoxine-hydrochloride 392 mg, Riboflavin-5-phosphate-2H20 313 mg , Adenine-hydrochloride-1/2H20 885mg, L-(-)-malic acid 9.19 mg",None,"In healthy volunteers, safety clinical chemistry and hematology laboratory parameters before and after intervention were not significantly different.
  In cancer patients, significantly improved quality of life (EORTC QLQ-30 global health status score: baseline: 24.17 +/- 9.2; end of treatment: 47.08 +/- 14.56, p < 0.001). The following scores were statistically significantly decreased: fatigue (p<0.001), pain (p<0.001), dyspnea (p<0.019), diarrhea (p<0.003), while changes in the scores of nausea and vomiting, insomnia, appetite lost, and constipation were not statistically significantly changed.",,Positive,Present,,"Nausea, vomiting or gastric pain with mild to moderate intensity",Present - beneficial,"In cancer patients, significant improvements in pain, fatigue, dyspnea, and diarrhea may be attributed to the drink powder.","Breast, Lung, Colon, Rectal, Head and Neck, Gastric, Hodgkin Lymphoma non-Hodgkin Lymphoma Thyroid, Liver, Liposarcoma Melanoma Pancreatic, Prostate, Kidney, Bladder, Vaginal","Pain, fatigue, dyspnea, digestive tract","Chemotherapy/Immunotherapy, radiation
",,,,,,,,,,,,,1/26/17 HW
11/30/2015 12:00:00,Louden,"Skin Toxicity from external beam radiation therapy in breast cancer patients: protective effects of Resveratrol, Lycopene, Vitamin C and anthocianin (Ixor)",2012,,clinical trial,"A controlled, non-randomized, prospective, singe-center trial to assess the protective effect of Ixor in the skin toxicity of external beam radiotherapy directed to the breast.",Uncontrolled clinical trial,"71 female patients with a diagnosis of breast cancer aged between 30 and 80 years old who underwent conservative surgery, surgical margins were disease free and there was no indication for regional nodal radiation therapy.","N = 71 (0 males, 71 females)","Cancerous, solid tumors",Primary non-metastatic breast cancer,Not reported,N/A,,"Vitamin, Herb/Plant compound","2 tablets a day of resveratrol, lycopene, vitamin C, and anthocyanin starting 10 days before radation treatment and ended 10 days after treatment.","Resveratrol, Lycopene, Vitamin C, Anthocianin","Formula (amounts of each ingredient not specified):
Resveratrol, Lycopene, Vitamin C, Anthocianins",Standard of care (topical prophylactic treatment based on hyaluronic acid and a topical steroid therapy in case of occurence of radiodermatitis),"Control group patients with a PTV > 500 ml presented skin toxicity G2 + G3 in 30% of cases, versus 25% in Ixor group (RR 0.83, OR 0.77)
  PTV < 500 ml, G2 + G3 skin toxicty: 18% in control group, 0% in Ixor group (RR 0.28, OR 0.23)
  Dmax <= 107% of prescribed dose skin toxicity, G2+G3 skin toxicity: 35% in control group, 21% in Ixor group (RR 0.60, OR 0.50)
  Patients undergoing adjuvant chemotherapy with anthracyclines and taxanes, G2 + G3 skin toxicity: 27% control group, 20% Ixor group (RR 0.74, OR 0.68)",,Neutral,None reported,,N/A,Reported and possible,Protective effect of Ixor encouraging in breasts with volume lower than 500 ml and in those who recieve radiation dose between 107%-110% of the prescribed dose,Breast,"Radiation dermatitis, dermatitis",radiation,radiation,,,,,,,,,,,,1/26/17 HW
12/1/15,Thiel,"A phase 2 trial exploring the effects of high-dose (10,000 IU/day) vitamin D(3) in breast cancer patients with bone metastases",2010,AM,clinical trial,"Single-center, single-arm, phase 2 trial of Vitamin D3 10,000 IU daily in breast cancer patients with bone metastases taking bisphosphanates",Uncontrolled clinical trial,"40 Women, mean age 53 years, with histologically confirmed metastatic breast cancer and with radiologic or pathologic evidence of bone metastases, who were clinically stable and taking bisphosphanates. Women ontcinued their standard cancer therapies (ie, endocrine therapy, chemotherapy, and bisphosphonate).","N=40 (0 male, 40 female)","Cancerous, solid tumors","metastatic breast cancer, bone pain",Not reported,"Estrogen positive
  Estrogen negative",,Vitamin,"Oral cholecalciferol (vitamin D3) at a daily dose of 10,000 IU for 4months, along with 1,000 mg/d elemental calcium. Vitamin D3 was administered in liquid form (D drops, 1000 IU per oil drop)",Vitamin D3,"Oral D-drops containing cholecalciferol (vitaminD3) at a daily dose of 10,000 IU for 4months, along with 1000 mg/d elemental calcium",None,"No significant changes in bone resorption markers (urinary N-telopeptide) were seen.
  
  Palliative response was assessed using the Brief Pain Inventory 21 and the Functional Assessment of Cancer Therapy-Bone Pain. Despite no significant change in global pain scales over the four months, there was a significant reduction in the number of sites of pain. 
  
  A small but statistically significant increase in serum calcium was seen, as was a significant decrease in serum parathyroid hormone.
  
  Treatment unmasked 2 cases of primary hyperparathyroidism, but was not associated with direct toxicity.",,Neutral,Absent,,N/A,Absent,"Vitamin D3 10,000IU daily for 4 months did not reduce pain scores in women with metastatic breast cancer to bone taking bisphosphanates",Breast,Bone pain,N/A,bisphosphanate,,,,,,,,,,,,1/26/17 HW
12/1/15,Thiel,Combination glutathione and anthocyanins as an alternative for skin care during external-beam radiation.,2005,,clinical trial,"Single center, randomized, double-blind placebo controlled trial of glutathione and anthocyanin gel for radiation dermatitis in breast cancer",Controlled clinical trial,32 women received standard whole breast treatment with tangential beam irradiation using computed tomography-based treatment.,"N=32 (0 male, 32 female)","Cancerous, solid tumors","Breast cancer, radiation induced dermatitis",Not reported,N/A,,"Topical, Herb/Plant compound",Patients applied RayGel to their breasts 1 to 3 hours prior to radiation therapy. Both the intervention and control groups received instruction in standard skin care and used aloe vera gel and vitamin E after radiation treatments.,"Glutathione, Anthocyanins",Aqueous-based formulation containing reduced glutathione and anthocyanins.,"Placebo (inert, water-based gel, colored with beet juice)","Scoring was done on breast photographs based on a modification of the Radiation Therapy Oncology Group (RTOG) acute radiation morbidity scoring system. 
  
  The mean whole breast severity score was lower in the RayGel group at 93.7 versus the placebo group at 123, but did not reach significance due to small sample size.
  
  The mean RayGel RTOG score was 24% better than placebo, but did not reach significance due to small sample size.
  
  When evaluating the worst site score the difference was not quite as pronounced. The RayGel group had an average score that was 14% less than the placebo group. The average RayGel worst site score was 39.2 versus placebo at 45.5.
  
  The mean scores for the group treated with RayGel were lower, despite the fact that the participants in this group were on average older with larger breast volumes.",,Mixed,Absent,,N/A,Present - beneficial,Glutathione and anthocyanin gel showed a trend towards improvement in breast radiation dermatitis,Breast,"Radiation dermatitis, dermatitis",Radiation,radiation,,,,,,,,,,,,1/26/17 HW
12/1/15,Thiel,Dietary Modulation of Omega-3/Omega-6 Polyunsaturated Fatty Acid Ratios in Patients With Breast Cancer.,1997,,clinical trial,"Open label, uncontrolled clinical trial of the effect of low fat diet plus 3g fish oil supplementation on omega 3:omega 6 in breast and other adipose tissues in breast cancer patients",Uncontrolled clinical trial,"25 women aged 29-62 years of age with histologically documented breast cancer, high-risk (stage II with >10 lymph nodes involved or stage III with any number of lymph nodes involved) localized breast cancer and had completed high-dose chemotherapy with peripheral blood progenitor cell transplantation or stage IV breast cancer that had failed to respond to conventional therapy.","N=25 (0 male, 25 female)","Cancerous, solid tumors",Breast cancer,"II, III, IV",N/A,,"Essential fatty acid, Vitamin, Dietary","10 caps fish oil capsules daily for 3 months plus Vitamin E (800 IU/day) plus low fat diet comprised of 15% of calories from fat, 15% from protein, and 70% from carbohydrate for 3-months.","Fish Oil, Vitamin E, Low fat diet","10 Fish oil capsules daily (Pharmavite
  Corp.) in 1000-mg capsules containing 18% eicosapentaenoic acid and 12%
  docosahexaenoic acid to achieve a goal of 3 g omega-3- polyunsaturated fatty
  acids daily. Vitamin E (800 IU) to balance high dose
  omega 3 supplementation A 4 day food-frequency questionnaire record to
  determine levels of fatty acids, and the level of total fatty acids in the
  plasma. Weekly meet with the nutritionist for
  the first month and then every 2 weeks during the second and third months of
  intervention. Nutrition analysis (4 day food frequency questionnaire) at
  baseline and 3 months. Serum fatty acids and punch biopsy of
  breast fat (1 g) and gluteal adipose tissue at baseline and 3 months.",None,"After dietary intervention, a reduction in the level of total omega-6 polyunsaturated fatty acids in the plasma was observed (P<.0003).
  
  Total omega-3 polyunsaturated fatty acids increased approximately three- fold (P<.0001) and the omega-3/omega-6 polyunsaturated fatty acids ratio increased approximately fourfold (i.e., mean values increased from 0.09 to 0.41; P = .0001). 
  
  An increase in total omega-3 polyunsaturated fatty acids in breast adipose tissue was observed following dietary intervention (P = .04); the omega-3/ omega-6 polyunsaturated fatty acid ratio in breast fat biopsy increased from a mean value of 0.05 to 0.07 (P = .0001). 
  
  An increase in total omega-3 polyunsaturated fatty acids was observed in gluteal adipose tissue following the intervention (P = .05); however, the ratio of omega-3 to omega-6 polyunsaturated fatty acids (mean ratio values of 0.036-0.045; P = .06) was unchanged. 
  
  Breast adipose tissue changed more rapidly than gluteal adipose tissue in response to the dietary modification. Gluteal adipose tissue may not be a useful surrogate to study the effect of diet on breast adipose tissue. 
  
  Intervention with a low-fat, fish oil-supplemented diet resulted in a decrease in energy consumption, from a mean of 1336.4 to 1137 kcal/day (P<.05) as measured by the 4-day food-record analysis.",,Mixed,Absent,,N/A,Not reported,N/A,Breast,N/A,N/A,N/A,,,,,,,,,,,,1/26/17 HW
12/1/15,Thiel,Effect of Withania somnifera (Ashwagandha) on the Development of Chemotherapy-Induced Fatigue and Quality of Life in Breast Cancer Patients,2012,,clinical trial,"Single center, open-label controlled trial of Withania for fatigue and quality of life in patients undergoing chemotherapy for breast cancer",Controlled clinical trial,"100 Patients, median age 51 years with stages I-IV of breast cancer receiving either taxotere, adriamycin, and cyclophosphamide or 5-fluorouracil, epirubicin, and cyclophosphamide chemotherapy regimens.",N=100 (sex unknown),"Cancerous, solid tumors","Solid tumor, breast, chemotherapy fatigue",All stages,"Estrogen positive or negative
  Progesterone positive or negative",,Herb/Plant compound,Withania somnifera (WS) 4 capsules (2 gm) orally 3 times daily throughout the course of chemotherapy (for 6 cycles).,Withania somnifera,Powder of WS root extract n a veggie capsule containing 500 mg ashwagandha.,Standard of care (standard chemotherapy treatment and standard intravenous antiemetic medication),"The quality-of-life and fatigue scores were evaluated before, during, and on the last cycles of chemotherapy using the EORTC QLQ-C30 (Version 3), Piper Fatigue Scale (PFS), and Schwartz Cancer Fatigue Scale (SCFS-6) 
  
  Patients in the control arm experienced statistically significant higher fatigue scores compared to the withania group (P < .001 PFS, P < .003 SCFS-6). 
  
  7 out of 18 symptoms in the EORTC QLQ-C30 were statistically significantly improved in the withania group compared with control group (P < .001). 
  
  The 24-month overall survival for all stages in the withania group was 72% and control group was 56%, however, the result was not significant (P = .176), at a median follow-up duration of 26 months. 
  
  The median SCFS-6 fatigue score in withania arm was 10 to 12 points (interquartile range) and in the control group of patients 11 to 15 points (interquartile range).
  
  The marginal means of fatigue on the PFS were 3.16 and 2.08, respectively, in the control and withania groups.
  
  The marginal means of fatigue in SCFS-6 was 13.8 versus 11.8 respectively, in the control and withania groups.",,Positive,Present,,"2% of withania group participants dropped out due to oral intolerance, gastritis, and flatulence",Present - beneficial,"Withania decreased fatigue and improved quality of life in patients undergoing either taxotere, adriamycin, and cyclophosphamide or 5-fluorouracil, epirubicin, and cyclophosphamide chemotherapy",Breast,"Fatigue,","
Chemotherapy/Immunotherapy","TAC, FEC",,,,,,,,,,,,1/26/17 HW
